Date,location,position,key,value,month
2017-05-19,Tainoura (Isoyake),1m,RP,23.620139430575236,5
2017-05-19,Arikawa (Sargassum),0m,RP,72.49131838758984,5
2017-05-19,Arikawa (Sargassum),1m,RP,48.860580085029426,5
2017-05-20,Tainoura (Isoyake),0m,RP,33.22407450855374,5
2017-05-20,Tainoura (Isoyake),1m,RP,27.715006376859805,5
2017-05-20,Arikawa (Sargassum),0m,RP,47.778651259514504,5
2017-05-20,Arikawa (Sargassum),1m,RP,36.22749987816718,5
2017-05-21,Tainoura (Isoyake),0m,RP,41.77893598600096,5
2017-05-21,Tainoura (Isoyake),1m,RP,18.099135438108004,5
2017-05-21,Arikawa (Sargassum),0m,RP,45.22757755034415,5
2017-05-21,Arikawa (Sargassum),1m,RP,41.032208393664476,5
2017-05-26,Tainoura (Isoyake),0m,RP,13.19123766966882,5
2017-05-26,Tainoura (Isoyake),1m,RP,16.383221574730655,5
2017-05-27,Tainoura (Isoyake),0m,RP,36.12047585595725,5
2017-05-27,Tainoura (Isoyake),1m,RP,8.420001548388761,5
2017-05-28,Tainoura (Isoyake),0m,RP,35.188551895262876,5
2017-05-28,Tainoura (Isoyake),1m,RP,15.480821088552712,5
2017-05-29,Tainoura (Isoyake),0m,RP,39.919028524911155,5
2017-05-29,Tainoura (Isoyake),1m,RP,20.975034606496088,5
2017-05-30,Tainoura (Isoyake),0m,RP,35.154233329958004,5
2017-05-30,Tainoura (Isoyake),1m,RP,28.726203120788504,5
2017-05-31,Tainoura (Isoyake),0m,RP,24.165326350318935,5
2017-05-31,Tainoura (Isoyake),1m,RP,32.46287240717836,5
2017-06-01,Tainoura (Isoyake),0m,RP,28.037088811804267,6
2017-06-01,Tainoura (Isoyake),1m,RP,17.82243877763534,6
2017-06-02,Tainoura (Isoyake),0m,RP,18.04792578194379,6
2017-06-02,Tainoura (Isoyake),1m,RP,17.983469155080815,6
2017-06-03,Tainoura (Isoyake),0m,RP,36.199076205244104,6
2017-06-03,Tainoura (Isoyake),1m,RP,29.3083896143184,6
2017-06-04,Tainoura (Isoyake),0m,RP,25.95594600534251,6
2017-06-04,Tainoura (Isoyake),1m,RP,24.6015875715646,6
2017-06-05,Tainoura (Isoyake),0m,RP,22.916529216566904,6
2017-06-05,Tainoura (Isoyake),1m,RP,20.007615146206238,6
2017-06-06,Tainoura (Isoyake),0m,RP,35.82470642499871,6
2017-06-06,Tainoura (Isoyake),1m,RP,8.17918312222048,6
2017-06-07,Tainoura (Isoyake),0m,RP,7.154666962781692,6
2017-06-07,Tainoura (Isoyake),1m,RP,7.054311751172602,6
2017-06-08,Tainoura (Isoyake),0m,RP,44.70962034597292,6
2017-06-08,Tainoura (Isoyake),1m,RP,14.932527185357003,6
2017-06-09,Tainoura (Isoyake),0m,RP,4.554853932223143,6
2017-06-09,Tainoura (Isoyake),1m,RP,18.61088219294708,6
2017-06-10,Tainoura (Isoyake),0m,RP,32.04955049975737,6
