Date,location,key,value,month,X1
2017-08-12,Tainoura (Isoyake),RP,16.000694336509824,8,NA
2017-08-13,Tainoura (Isoyake),RP,8.493521667340763,8,NA
2017-08-14,Tainoura (Isoyake),RP,7.296982566138865,8,NA
2017-08-15,Tainoura (Isoyake),RP,5.042968079019605,8,NA
2017-08-16,Tainoura (Isoyake),RP,3.9230190522049817,8,NA
2017-08-17,Tainoura (Isoyake),RP,1.3467823001950103,8,NA
2017-09-03,Tainoura (Isoyake),RP,1.1743084574059088,9,NA
2017-09-03,Arikawa (Sargassum),RP,19.10085505068149,9,NA
2017-09-04,Tainoura (Isoyake),RP,14.745919192179105,9,NA
2017-09-04,Arikawa (Sargassum),RP,40.358802326086874,9,NA
2017-09-05,Tainoura (Isoyake),RP,6.069432139404297,9,NA
2017-09-05,Arikawa (Sargassum),RP,32.430558440414906,9,NA
2017-09-06,Tainoura (Isoyake),RP,8.899336530651965,9,NA
2017-09-06,Arikawa (Sargassum),RP,11.188069588525833,9,NA
2017-09-07,Arikawa (Sargassum),RP,11.415730262533017,9,NA
2017-09-08,Tainoura (Isoyake),RP,11.815639629098168,9,NA
2017-09-08,Arikawa (Sargassum),RP,32.48196895388931,9,NA
2017-09-10,Tainoura (Isoyake),RP,10.47975043430693,9,NA
2017-09-10,Arikawa (Sargassum),RP,28.543333740335278,9,NA
2017-09-11,Tainoura (Isoyake),RP,3.2139714442803653,9,NA
2017-09-25,Tainoura (Isoyake),RP,8.192740024066612,9,NA
2017-09-25,Arikawa (Sargassum),RP,26.972306300388766,9,NA
2017-09-26,Tainoura (Isoyake),RP,6.697844900777536,9,NA
2017-09-26,Arikawa (Sargassum),RP,25.407188960965343,9,NA
2017-09-27,Tainoura (Isoyake),RP,3.4979348415443248,9,NA
2017-09-27,Arikawa (Sargassum),RP,5.374678365761554,9,NA
2017-09-28,Tainoura (Isoyake),RP,8.11362998541206,9,NA
2017-09-28,Arikawa (Sargassum),RP,10.451098730700851,9,NA
2017-09-29,Tainoura (Isoyake),RP,9.097489792941005,9,NA
2017-09-29,Arikawa (Sargassum),RP,8.472268616348861,9,NA
2017-09-30,Arikawa (Sargassum),RP,27.624769764712404,9,NA
2017-10-01,Tainoura (Isoyake),RP,7.144223024723715,10,NA
2017-10-01,Arikawa (Sargassum),RP,18.74357896655179,10,NA
2017-10-02,Tainoura (Isoyake),RP,6.213409557809632,10,NA
2017-10-02,Arikawa (Sargassum),RP,20.071984943227562,10,NA
2017-10-03,Tainoura (Isoyake),RP,4.239742516871228,10,NA
2017-10-03,Arikawa (Sargassum),RP,18.674227668576293,10,NA
2017-10-04,Tainoura (Isoyake),RP,1.5911169281448423,10,NA
2017-10-04,Arikawa (Sargassum),RP,1.275650911720235,10,NA
2017-10-05,Tainoura (Isoyake),RP,5.536063955129423,10,NA
2017-10-05,Arikawa (Sargassum),RP,16.8555936751833,10,NA
2017-10-06,Tainoura (Isoyake),RP,6.947100551741999,10,NA
2017-10-06,Arikawa (Sargassum),RP,34.42194803126957,10,NA
2017-10-07,Tainoura (Isoyake),RP,0.5394112547626541,10,NA
2017-10-07,Arikawa (Sargassum),RP,9.79127427414954,10,NA
