"","Date","location","key","value","month"
"168",2018-07-04,"Mushima (New port)","RP",31.3759333787237,7
"169",2018-07-05,"Mushima (New port)","RP",61.2115373424497,7
"170",2018-07-06,"Mushima (Old port)","RP",10.2223002270391,7
"171",2018-07-06,"Mushima (New port)","RP",37.4256356889161,7
"172",2018-07-07,"Mushima (Old port)","RP",11.9237270458765,7
"173",2018-07-07,"Mushima (New port)","RP",17.9459790974936,7
"174",2018-07-08,"Mushima (Old port)","RP",11.5739675215626,7
"175",2018-07-08,"Mushima (New port)","RP",12.1238271019712,7
"176",2018-07-09,"Mushima (Old port)","RP",24.0422569000747,7
"177",2018-07-09,"Mushima (New port)","RP",62.8593544685473,7
"178",2018-07-10,"Mushima (Old port)","RP",28.8137901700655,7
"179",2018-07-10,"Mushima (New port)","RP",38.0915377785594,7
"180",2018-07-11,"Mushima (Old port)","RP",26.0392811962719,7
"181",2018-07-12,"Mushima (Old port)","RP",14.6272350916945,7
"182",2018-07-12,"Mushima (New port)","RP",33.6601650138404,7
"183",2018-07-13,"Mushima (Old port)","RP",27.280145851208,7
"184",2018-07-13,"Mushima (New port)","RP",44.3135379469246,7
"185",2018-07-14,"Mushima (Old port)","RP",3.99906977259832,7
"186",2018-07-14,"Mushima (New port)","RP",63.7223303678981,7
"187",2018-07-15,"Mushima (Old port)","RP",4.01180115066805,7
"188",2018-07-15,"Mushima (New port)","RP",26.8889049623411,7
"189",2018-07-16,"Mushima (Old port)","RP",4.67224377559537,7
"190",2018-07-16,"Mushima (New port)","RP",38.3358806888261,7
"191",2018-07-17,"Mushima (Old port)","RP",1.4188051059423,7
"192",2018-07-17,"Mushima (New port)","RP",42.495421227803,7
"193",2018-07-18,"Mushima (Old port)","RP",9.12906013009418,7
"194",2018-07-18,"Mushima (New port)","RP",72.5758913186384,7
"195",2018-07-19,"Mushima (Old port)","RP",36.0569175182763,7
"196",2018-07-19,"Mushima (New port)","RP",66.6778647066748,7
"197",2018-07-20,"Mushima (Old port)","RP",42.6636355951732,7
"198",2018-07-20,"Mushima (New port)","RP",84.6142239676258,7
"199",2018-07-23,"Mushima (Old port)","RP",37.796476579408,7
"200",2018-07-26,"Mushima (Old port)","RP",14.9717762058046,7
"201",2018-07-26,"Mushima (New port)","RP",8.56535994022337,7
"202",2018-07-27,"Mushima (Old port)","RP",10.9392878783051,7
"203",2018-07-27,"Mushima (New port)","RP",43.906249539553,7
"204",2018-07-28,"Mushima (Old port)","RP",11.4126175572669,7
"205",2018-07-28,"Mushima (New port)","RP",12.789114358633,7
"206",2018-07-29,"Mushima (Old port)","RP",4.94699073107441,7
"207",2018-07-29,"Mushima (New port)","RP",5.59796943551163,7
"208",2018-07-30,"Mushima (Old port)","RP",13.5817252148377,7
"209",2018-07-30,"Mushima (New port)","RP",11.8372131226343,7
"210",2018-07-31,"Mushima (Old port)","RP",2.37198269285674,7
"211",2018-07-31,"Mushima (New port)","RP",76.4618621207457,7
"212",2018-08-01,"Mushima (Old port)","RP",9.71415170322274,8
"213",2018-08-01,"Mushima (New port)","RP",37.3976381396328,8
"214",2018-08-02,"Mushima (Old port)","RP",8.66311140562314,8
"215",2018-08-02,"Mushima (New port)","RP",68.4923662356172,8
"216",2018-08-03,"Mushima (Old port)","RP",4.98838122394432,8
"217",2018-08-03,"Mushima (New port)","RP",58.8525289562605,8
"218",2018-08-04,"Mushima (Old port)","RP",20.1237973570142,8
"219",2018-08-04,"Mushima (New port)","RP",123.209017129273,8
"220",2018-08-05,"Mushima (Old port)","RP",36.5294563205474,8
"221",2018-08-05,"Mushima (New port)","RP",93.3779740722617,8
"222",2018-08-06,"Mushima (Old port)","RP",35.1423587763897,8
"223",2018-08-06,"Mushima (New port)","RP",78.8281212255289,8
"224",2018-08-07,"Mushima (Old port)","RP",29.6707553051306,8
"225",2018-08-08,"Mushima (Old port)","RP",41.0822152990924,8
"226",2018-08-09,"Mushima (Old port)","RP",27.321495443919,8
"227",2018-08-10,"Mushima (Old port)","RP",40.3546711637886,8
"228",2018-08-11,"Mushima (Old port)","RP",38.9412851985993,8
"229",2018-08-12,"Mushima (Old port)","RP",19.463678593726,8
