Date,location,key,month,value,ppfd,temperature,log_ppfd,idx
2017-05-04,Arikawa (Sargassum),NEP,5,28.560694369762274,21.289363588284903,18.09,3.058207585940275,2
2017-05-05,Tainoura (Isoyake),NEP,5,4.375229613579279,2.3647145766782494,18.019444444444446,0.8606573282667326,1
2017-05-05,Arikawa (Sargassum),NEP,5,8.121930801957333,13.382167412519284,17.994583333333335,2.5939230305588095,2
2017-05-06,Tainoura (Isoyake),NEP,5,18.579439455827185,4.85715535166326,18.137916666666666,1.5804529479587988,1
2017-05-06,Arikawa (Sargassum),NEP,5,21.266460738122106,24.90282064445881,18.056527777777777,3.2149810759490207,2
2017-05-07,Tainoura (Isoyake),NEP,5,19.59521456592128,4.3409820307468605,17.93611111111111,1.4681005968817664,1
2017-05-07,Arikawa (Sargassum),NEP,5,27.126880970472556,21.86698590926876,18.210833333333333,3.084978006684604,2
2017-05-08,Tainoura (Isoyake),NEP,5,12.41689202189633,3.3331981193576685,17.969305555555554,1.2039322393104874,1
2017-05-08,Arikawa (Sargassum),NEP,5,21.50082368260975,18.782678082049756,18.087083333333332,2.932935066491342,2
2017-05-09,Tainoura (Isoyake),NEP,5,6.850744612824755,0.6371358688111536,17.930694444444445,-0.4507723513171076,1
2017-05-09,Arikawa (Sargassum),NEP,5,3.254046099673502,6.458901281607626,17.725277777777777,1.8654592230827276,2
2017-05-10,Tainoura (Isoyake),NEP,5,10.830406163998774,0.9428528674339152,17.93138888888889,-0.05884503457300145,1
2017-05-10,Arikawa (Sargassum),NEP,5,20.942688135130005,11.160238283412426,17.64236111111111,2.412357308285477,2
2017-05-11,Tainoura (Isoyake),NEP,5,18.45841126186265,3.293043394806379,18.174166666666668,1.1918121812018359,1
2017-05-11,Arikawa (Sargassum),NEP,5,11.357393336732358,24.32602771098115,17.789166666666667,3.191546876346346,2
2017-05-12,Tainoura (Isoyake),NEP,5,0.44929260731407794,0.15563515579631038,18.13736111111111,-1.8602407557634821,1
2017-05-12,Arikawa (Sargassum),NEP,5,-0.26349640207712355,2.179169595453937,17.71375,0.778943884716187,2
2017-05-13,Tainoura (Isoyake),NEP,5,23.834621417769597,3.1878864299796863,18.25111111111111,1.1593581360712297,1
2017-05-13,Arikawa (Sargassum),NEP,5,38.00199646315505,17.550853327009676,18.024444444444445,2.8651025713514673,2
2017-05-14,Tainoura (Isoyake),NEP,5,21.67872966897555,2.5758116658530255,18.322222222222223,0.9461646944874617,1
2017-05-14,Arikawa (Sargassum),NEP,5,44.0939056880687,20.948577477404513,18.453055555555554,3.0420707432229004,2
2017-05-15,Tainoura (Isoyake),NEP,5,12.61087318401799,1.3878298682239152,18.32513888888889,0.32774128124617924,1
2017-05-15,Arikawa (Sargassum),NEP,5,21.19982924262942,15.392971344214844,18.636111111111113,2.7339109990147477,2
2017-05-16,Tainoura (Isoyake),NEP,5,19.175966435408753,1.6170108227107967,18.288333333333334,0.48057927365284125,1
2017-05-16,Arikawa (Sargassum),NEP,5,26.081969053546317,10.562526353945083,18.52111111111111,2.357312487728235,2
